UUID_v4,repo,location,path,translation_needed,type,english,translation,Icelandic,context,key,delim,emoji,formating_exists
63d51e1b-3367-4529-9849-925856fdaff1,qa-crowdsourcing-app,src/components/organisms/Game/SelectSpan/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/SelectSpan/index.tsx,yes,button,Confirm,Confirm,Staðfesta,Used for button / prompts where the user needs to confirm their action,[[translation:63d51e1b-3367-4529-9849-925856fdaff1]],/,No,No
64baabaa-5024-40ad-9020-56f7921ea11e,qa-crowdsourcing-app,src/components/organisms/Users/ScoreCard/index.tsx,qa-crowdsourcing-app/src/components/organisms/Users/ScoreCard/index.tsx,maybe,title,Invited Friends,Invited Friends,Skráðir vinir (boð),"This is a part of a users ""Scorecard"" where they can see the number of friends invited to play the game",[[translation:64baabaa-5024-40ad-9020-56f7921ea11e]],/,No,No
65accc94-b1d8-4899-85e7-4cc048d70759,qa-crowdsourcing-app,src/views/AuthCode/index.tsx,qa-crowdsourcing-app/src/views/AuthCode/index.tsx,yes,title,Sign Out,Sign Out,Útskrá,Text for the sign out button,[[translation:65accc94-b1d8-4899-85e7-4cc048d70759]],/,No,No
679571b1-de5e-437c-9208-ca5c755a0d4f,qa-crowdsourcing-app,src/components/atoms/Cards/PrizeCategory/index.tsx,qa-crowdsourcing-app/src/components/atoms/Cards/PrizeCategory/index.tsx,maybe,instruction,You need to,You need to,Þú þarft að,"Instructions telling the user that ""You need to ____""",[[translation:679571b1-de5e-437c-9208-ca5c755a0d4f]],/,No,No
68d189a7-eea9-42c8-b604-409cbd7e128d,qa-crowdsourcing-api,src/models/Answers/methods.ts,qa-crowdsourcing-api/src/models/Answers/methods.ts,maybe,error,No Answer Found,No Answer Found,Svar fannst ekki,Error shown to the user if the answer was not found or if there was in some way an error loading the answer.,[[translation:68d189a7-eea9-42c8-b604-409cbd7e128d]],/,No,No
69435c8c-a692-47cc-825e-0dc2ec27d940,qa-crowdsourcing-app,src/services/CountDownLabel/index.ts,qa-crowdsourcing-app/src/services/CountDownLabel/index.ts,maybe,text,Days,Days,Dagar,Days (the plural noun),[[translation:69435c8c-a692-47cc-825e-0dc2ec27d940]],/,No,No
69bad13a-c901-41c6-9bf4-21113918ab60,qa-crowdsourcing-app,src/components/organisms/Game/ReviewQuestion,qa-crowdsourcing-app/src/components/organisms/Game/ReviewQuestion,yes,text,Cancel,Cancel,Hætta við,A button allowing a user to go back or revert their previous choice ,[[translation:69bad13a-c901-41c6-9bf4-21113918ab60]],/,No,No
6adc749f-7a2c-4179-861c-402d61bfa241,qa-crowdsourcing-api,src/routes/api/announcement/interface.ts,qa-crowdsourcing-api/src/routes/api/announcements/interface.ts,yes,text,Tuesday,Tuesday,þriðjudag,A day of the week,[[translation:6adc749f-7a2c-4179-861c-402d61bfa241]],/,No,No
6b1a9363-c272-40f5-90bf-700797df6550,qa-crowdsourcing-app,,,yes,button,Forgot your password?,Forgot your password?,Gleymt lykilorð?,Button to access reset password view,[[translation:6b1a9363-c272-40f5-90bf-700797df6550]],,No,No
6d779c31-0784-4adc-8aa1-b1d115754296,qa-crowdsourcing-app,,,yes,instruction,Share or copy the link to invite your friends to join!,Share or copy the link to invite your friends to join!,"Smelltu á deila, eða afritaðu hlekkinn til þess að bjóða vinum að sækja appið.",Instructing users to copy a shareable link so they can share the app with others,[[translation:6d779c31-0784-4adc-8aa1-b1d115754296]],,No,No
6eb6fc05-e841-4511-ab4e-735c5be89476,qa-crowdsourcing-app,src/components/organisms/Game/GoogleSearch/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/GoogleSearch/index.tsx,yes,instruction,You can now use Google to find an answer online.,You can now use Google to find an answer online.,"Þú þarft að nota Google til að finna svarið á íslensku Wikipediu, Vísindavefnum, vísir.is eða mbl.is",Instructions explaining the Google Search stage.,[[translation:6eb6fc05-e841-4511-ab4e-735c5be89476]],/,No,No
6f8b9a5d-b070-499e-ad7c-5c4c5a6e1dbb,qa-crowdsourcing-app,src/services/CountDownLabel/index.ts,qa-crowdsourcing-app/src/services/CountDownLabel/index.ts,maybe,prizes / text,Sec,Sec,Sek,Not necessary if not implementing prizes. Seconds (please abbreviate if possible),[[translation:6f8b9a5d-b070-499e-ad7c-5c4c5a6e1dbb]],/,No,No
728c9365-2e4f-41e9-84ed-2c375c5044a5,qa-crowdsourcing-app,,,yes,button,In Progress,In Progress,Í vinnslu,Button that allows users to access a view showing them their questions which have not been fully answered just yet. Keep this short,[[translation:728c9365-2e4f-41e9-84ed-2c375c5044a5]],,No,No
733eaeaf-7c00-4bd9-ab7d-26359b6855c9,qa-crowdsourcing-app,src/components/organisms/Game/ReviewAnswer/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/ReviewAnswer/index.tsx,yes,prompt / title,Highlighted Incorrectly?,Highlighted Incorrectly?,Vitlaust merkt?,A title for a prompt asking the user whether the answer is incorrectly marked or not. Keep this short.,[[translation:733eaeaf-7c00-4bd9-ab7d-26359b6855c9]],/,No,No
74332ff0-bea7-4b49-9992-7ebee1c9a5d4,qa-crowdsourcing-app,,,yes,text,These are questions other users were unable to find an answer for,These are questions other users were unable to find an answer for,Þetta eru spurningar sem aðrir notendur fundu ekki svar við. Getur þú fundið svörin á Google.,A paragraph explaining to the user that the questions they see is a list of questions which they asked but other users couldn't find the answer to online,[[translation:74332ff0-bea7-4b49-9992-7ebee1c9a5d4]],,No,No
749736db-66a3-42dc-ba0f-0ccd44135d4d,qa-crowdsourcing-app,src/routing/index.tsx,qa-crowdsourcing-app/src/routing/index.tsx,maybe,button,Prizes,Prizes,Vinningar,Not necessary if not implementing prizes. Name (must be single word) of a tab in the bottom navigation,[[translation:749736db-66a3-42dc-ba0f-0ccd44135d4d]],/,No,No
75e48795-0166-4414-be61-0b8b3cde4996,qa-crowdsourcing-app,src/services/CountDownLabel/index.ts,qa-crowdsourcing-app/src/services/CountDownLabel/index.ts,maybe,text,Hrs,Hrs,Klst,"Hours, abbreviation as part of a countdown",[[translation:75e48795-0166-4414-be61-0b8b3cde4996]],/,No,No
77340120-e861-42b7-a6a4-8eafb29f8da1,qa-crowdsourcing-app,src/components/organisms/Game/ReviewQuestion,qa-crowdsourcing-app/src/components/organisms/Game/ReviewQuestion,yes,title,The answer doesn't change,The answer doesn't change,Svarið breytist ekki mikið,Shown during the answer review step. This is a title accompanying a question which asks the user whether or not a question changes a lot or is context specific. NOTE: this must be translated so that if the user responds with 'yes' to this prompt then the question is a good question which is not subjective,[[translation:77340120-e861-42b7-a6a4-8eafb29f8da1]],/,No,No
78431932-9dae-4300-9505-0aba46fcda5d,qa-crowdsourcing-app,src/components/organisms/Forms/PinCodeScreen/index.tsx,qa-crowdsourcing-app/src/components/organisms/Forms/PinCodeScreen/index.tsx,yes,button,Resend Code,Resend Code,Senda aftur,"Text for a button which ""resends"" the verification code via email in case the other one didn't arrive or expired.",[[translation:78431932-9dae-4300-9505-0aba46fcda5d]],/,No,No
78d06c58-3368-44ef-b0b6-135f6a9f4936,qa-crowdsourcing-app,src/components/organisms/Game/SelectSpan/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/SelectSpan/index.tsx,yes,button,Go back,Go back,Til baka,A button allowing a user to go back.,[[translation:78d06c58-3368-44ef-b0b6-135f6a9f4936]],/,No,No
78f8e09e-b039-44f9-bbbe-fd134d603d6a,qa-crowdsourcing-app,src/components/organisms/Game/SelectSpan/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/SelectSpan/index.tsx,yes,text,"If you can't see the answer in this paragraph, we will delete it.","If you can't see the answer in this paragraph, we will delete it.",Ef þú sérð ekki svarið hér þá eyðum við þessari efnisgrein.,"This is a warning of sorts that is shown to a user when they say that they don't see an answer in a particular paragraph. The warning further tells the user if they are sure that the answer does not lie in this paragraph then we will delete it. Meaning that the user gets a sense of the consequences so they don't act ""lazy"". NOTE: there is a title that accompanies this paragraph",[[translation:78f8e09e-b039-44f9-bbbe-fd134d603d6a]],/,No,No
7923fe3c-e9c7-44cb-bdf0-dad4c39b8daf,qa-crowdsourcing-app,src/components/organisms/Users/ScoreCard/index.tsx,,yes,title,Answers,Answers,Svör,"This is a part of a users ""Scorecard"" where they can see the amount of answers they've contributed",[[translation:7923fe3c-e9c7-44cb-bdf0-dad4c39b8daf]],,No,No
7aa3322d-a60e-4b38-91c8-ffbdc7aa06f5,qa-crowdsourcing-api-retag,,,maybe,prizes / text,You have unlocked this prize category! 🎉,You have unlocked this prize category! 🎉,Vissir þú að þú hefur aflæst þennan vinninga flokk?,Not necessary if not implementing prizes. Lets users know that they've unlocked a particular chest,[[translation:7aa3322d-a60e-4b38-91c8-ffbdc7aa06f5]],,No,No
7c18efa6-d7d6-43ef-b24a-be4b83150c68,qa-crowdsourcing-app,src/components/organisms/Game/WriteQuestion/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/WriteQuestion/index.tsx,yes,instruction,Write a question which other users can find the answer for with Google!,Write a question which other users can find the answer for with Google!,Sendu inn spurningu sem aðrir notendur geta googlað svarið við á íslensku,This is a piece of instruction instructing the user to write a new original question,[[translation:7c18efa6-d7d6-43ef-b24a-be4b83150c68]],/,No,No
7d5f2e8b-be14-4e44-9456-9d942b43ca95,qa-crowdsourcing-app,src/components/atoms/Cards/PrizeItem/index.tsx,qa-crowdsourcing-app/src/components/atoms/Cards/PrizeItem/index.tsx,maybe,prizes / text,Out of stock,Out of stock,Farið,Not necessary if not implementing prizes. This tells the user that a certain item is not available because somebody else won it.,[[translation:7d5f2e8b-be14-4e44-9456-9d942b43ca95]],/,No,No
7d8390ba-4d60-4b9c-94d3-56660da805c4,qa-crowdsourcing-api-retag,,,maybe,prizes / text,Next prize announcement on,Next prize announcement on,Útdráttur á ,"Not necessary if not implementing prizes. Used in the context of. ""Prize announcement on [DATE]"", letting users know when the next prize anncounement will be.",[[translation:7d8390ba-4d60-4b9c-94d3-56660da805c4]],,No,No
7e289193-01ff-4fb3-b8d5-e2ed3faefe0b,qa-crowdsourcing-api-retag,,,yes,error / text,Password is too short. Must be at least ${MIN_PW_LENGTH} characters.,Password is too short. Must be at least ${MIN_PW_LENGTH} characters.,Lykilorð verður að vera amk. ${MIN_PW_LENGTH} stafir,An error message shown to the user if they enter a password that's too short,[[translation:7e289193-01ff-4fb3-b8d5-e2ed3faefe0b]],,No,No
80a89a34-0646-44a9-a169-5daf07edc421,qa-crowdsourcing-app,src/components/organisms/Game/WriteQuestion/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/WriteQuestion/index.tsx,yes,text,You can (if you choose to) ask about,You can (if you choose to) ask about,Þú gætir spurt um,"Shown during the question elicitation stage letting the user know that they can ask about something. Used like this: ""You can ask about ____""",[[translation:80a89a34-0646-44a9-a169-5daf07edc421]],/,No,No
80a9c4a8-ca73-4819-ad5c-53d0ac4215a9,qa-crowdsourcing-app,,,yes,text,Your questions will appear here once you ask them,Your questions will appear here once you ask them,Þú hefur ekki spurt neinar spurningar enn þá. Þínar spurningar birtast hér,"Users can see a list of their questions on their profile. Before the user has any questions, they will see this",[[translation:80a9c4a8-ca73-4819-ad5c-53d0ac4215a9]],,No,No
81842581-d2ce-4949-9940-97f9a123056f,qa-crowdsourcing-api-retag,,,yes,notification / text,You've played ${user.dailyStreak} days in a row 🔥 Don't let your streak end today!,You've played ${user.dailyStreak} days in a row 🔥 Don't let your streak end today!,"Þú hefur spilað ${user.dailyStreak} daga í röð, ekki láta syrpuna þína enda í dag.",A push notification text to users (on the app) telling them that their streak is about to end,[[translation:81842581-d2ce-4949-9940-97f9a123056f]],,No,No
81e89af0-22cc-47d5-a7fd-20db983021b6,qa-crowdsourcing-api,src/models/Users/index.ts,qa-crowdsourcing-api/src/models/Users/index.ts,yes,error / text,Invalid Email,Invalid Email,Tölvupóstfang er á röngu sniði,An error shown to users when they register but provide an email that's not a valid email,[[translation:81e89af0-22cc-47d5-a7fd-20db983021b6]],/,No,No
82363b73-5494-4ef3-bca6-9c0a3f2c1110,qa-crowdsourcing-app,src/services/Chests/index.ts,qa-crowdsourcing-app/src/services/Chests/index.ts,maybe,prizes / text,Participation Prize!,Participation Prize!,Allir taka þátt,Not necessary if not implementing prizes. This is the name of lowest prize category (1/5). ,[[translation:82363b73-5494-4ef3-bca6-9c0a3f2c1110]],/,No,No
82749b03-becd-4845-bfa9-0ef8a1cb5ea2,qa-crowdsourcing-api-retag,,,maybe,prizes / text,You are ${lvl} lvls away from unlocking this prize category,You are ${lvl} lvls away from unlocking this prize category,Þú ert ${lvl} lvl-um frá því að aflæsa þennan vinninga flokk,Not necessary if not implementing prizes. Tells users that they're _ many levels away from unlocking a prize category,[[translation:82749b03-becd-4845-bfa9-0ef8a1cb5ea2]],,No,No
85936485-09df-41a1-b19a-163832d182f6,qa-crowdsourcing-app,src/components/atoms/Cards/PrizeCategory/index.tsx,qa-crowdsourcing-app/src/components/atoms/Cards/PrizeCategory/index.tsx,maybe,prizes / text,prizes in this category,prizes in this category,vinningar í þessum flokki,"Not necessary if not implementing prizes. Used in the context of ""____ prizes in this category""",[[translation:85936485-09df-41a1-b19a-163832d182f6]],/,No,No
86cf4916-78a4-428a-a536-6da032839372,qa-crowdsourcing-app,,,yes,text,Integrity Pledge,Integrity Pledge,Heiðursmannasamkomulag,Before playing users will need to agree to an integrity pledge where they promise to not submit bad data,[[translation:86cf4916-78a4-428a-a536-6da032839372]],x,No,No
87d2af96-17a8-46d7-994f-459469f4ea76,qa-crowdsourcing-app,src/components/organisms/Game/ReviewQuestion,qa-crowdsourcing-app/src/components/organisms/Game/ReviewQuestion,yes,text,I feel that this question can be answered in 2-3 sentences or less.,I feel that this question can be answered in 2-3 sentences or less.,Ég held að það sé hægt að svara þessari spurningu í 2-3 setningum eða styttra.,A statement showing to users when they are reviewing questions. They choose yes or no based on whether they agree with the statement given the question at hand.,[[translation:87d2af96-17a8-46d7-994f-459469f4ea76]],/,No,No
87dce2ce-f100-4ae6-841d-bb66e77ce1e9,qa-crowdsourcing-api,src/models/Users/index.ts,qa-crowdsourcing-api/src/models/Users/index.ts,yes,error / text,Username must be at least  ${MIN_USER_NAME_LENGTH}  characters,Username must be at least  ${MIN_USER_NAME_LENGTH}  characters,Notendanafn verður að vera amk. ${MIN_USER_NAME_LENGTH} stafir,An error shown to users when usernames are too short,[[translation:87dce2ce-f100-4ae6-841d-bb66e77ce1e9]],/,No,No
88f09b07-c184-4bf3-a8c3-2234190ff741,qa-crowdsourcing-api,src/routes/api/announcement/interface.ts,qa-crowdsourcing-api/src/routes/api/announcements/interface.ts,yes,text,September,September,September,The month,[[translation:88f09b07-c184-4bf3-a8c3-2234190ff741]],/,No,No
8a6e3047-e77f-4c85-b713-2e93e2c26d6a,qa-crowdsourcing-app,src/components/atoms/Loaders/CenterBox/index.tsx,qa-crowdsourcing-app/src/components/atoms/Loaders/CenterBox/index.tsx,yes,button,Cancel,Cancel,Hætta við leit,"Text on a button allowing a user to cancel the ""Google search"" if it's taking too long",[[translation:8a6e3047-e77f-4c85-b713-2e93e2c26d6a]],/,No,No
8e058ed8-7d7c-45ae-95ba-2fe3a227d6f1,qa-crowdsourcing-app,src/components/organisms/Game/Utils/SpanSelector/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/Utils/SpanSelector/index.tsx,yes,text,Tap the last character of the answer snippet,Tap the last character of the answer snippet,Smelltu á seinasta stafinn sem myndar svarið,Instructions telling the user what to do when selecting the end of an answer span,[[translation:8e058ed8-7d7c-45ae-95ba-2fe3a227d6f1]],/,No,No
8e0b57d4-0c0f-49a3-af15-35a6bc5d1e08,qa-crowdsourcing-app,src/components/organisms/Overlay/OpenBox/index.tsx,qa-crowdsourcing-app/src/components/organisms/Overlay/OpenBox/index.tsx,maybe,prizes / text,You're eligible for this prize!,You're eligible for this prize!,Þú ert kominn í pottinn!,Not necessary if not implementing prizes. A prompt that lets the user know that they are eligibile to win a certain prize,[[translation:8e0b57d4-0c0f-49a3-af15-35a6bc5d1e08]],/,No,No
9010208c-3c45-4358-87a1-a61ea3252037,qa-crowdsourcing-app,src/services/UserLevels/index.ts,qa-crowdsourcing-app/src/services/UserLevels/index.ts,yes,avatar,Valedictorian,Valedictorian,Dúx,This is a name of a particular avatar / user icon. This is a mid-to-high-level icon,[[translation:9010208c-3c45-4358-87a1-a61ea3252037]],/,No,No
948e93b8-77bb-453d-a604-af480a4998a0,qa-crowdsourcing-app,src/components/organisms/Game/Utils/SpanSelector/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/Utils/SpanSelector/index.tsx,yes,instruction / text,Tap the first character of the answer snippet,Tap the first character of the answer snippet,Smelltu á fyrsta stafinn sem myndar svarið,Instructions show to a user when they're selecting an answer span,[[translation:948e93b8-77bb-453d-a604-af480a4998a0]],/,No,No
96041362-685c-4aa6-9ecc-8a7a8819fef3,qa-crowdsourcing-api,src/routes/api/announcement/interface.ts,qa-crowdsourcing-api/src/routes/api/announcements/interface.ts,yes,text,March,March,mars,The month,[[translation:96041362-685c-4aa6-9ecc-8a7a8819fef3]],/,No,No
99cce31d-82f5-455f-af84-e83ca96b52e7,qa-crowdsourcing-app,src/views/AuthCode/index.tsx,qa-crowdsourcing-app/src/views/AuthCode/index.tsx,yes,text,Confirmation code has been sent to,Confirmation code has been sent to,Staðfestingarkóði hefur verið sendur á,"A message letting the user know that a confirmation code (to verify account) ""...has been sent to"" [EMAIL]",[[translation:99cce31d-82f5-455f-af84-e83ca96b52e7]],/,No,No
9af276ad-fc7f-4342-893c-e174bbf87ff6,qa-crowdsourcing-app,src/components/organisms/Game/ReviewQuestion,qa-crowdsourcing-app/src/components/organisms/Game/ReviewQuestion,yes,title,Understandable Question,Understandable Question,Skiljanleg spurning,A heading following a verification step during the verify question stage. On this step a user needs to verify that the question can be understood.,[[translation:9af276ad-fc7f-4342-893c-e174bbf87ff6]],/,No,No
9d378a47-8350-4ade-8f4b-10f7ba5488d0,qa-crowdsourcing-app,,,yes,button,Sign Out,Sign Out,Útskráning,Title of sign out alert,[[translation:9d378a47-8350-4ade-8f4b-10f7ba5488d0]],,No,No
9de4b7aa-e2da-4d0a-afa9-f0ea3abe3eb4,qa-crowdsourcing-api,src/routes/api/announcement/interface.ts,qa-crowdsourcing-api/src/routes/api/announcements/interface.ts,yes,text,July,July,júlí,the month,[[translation:9de4b7aa-e2da-4d0a-afa9-f0ea3abe3eb4]],/,No,No
9df058c6-a144-4b75-976a-2997f67f7349,qa-crowdsourcing-app,src/services/UserLevels/index.ts,qa-crowdsourcing-app/src/services/UserLevels/index.ts,yes,avatar,Beginner,Beginner,Byrjandi,This is a name of a particular avatar / user icon. This is the lowest level,[[translation:9df058c6-a144-4b75-976a-2997f67f7349]],/,No,No
9eb6138d-bbb5-447b-9440-a9b1f1062b43,qa-crowdsourcing-app,src/components/organisms/Users/ScoreCard/index.tsx,qa-crowdsourcing-app/src/components/organisms/Users/ScoreCard/index.tsx,maybe,title,Questions,Questions,Spurningar,"This is a part of a users ""Scorecard"" where they can see the amount questions",[[translation:9eb6138d-bbb5-447b-9440-a9b1f1062b43]],/,No,No
9ed9d5ea-217b-4e61-9928-62a1150522fc,qa-crowdsourcing-app,src/components/organisms/Game/SelectSpan/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/SelectSpan/index.tsx,yes,text,"Is the answer either ""Yes"" or ""No""?","Is the answer either ""Yes"" or ""No""?",Er svarið annaðhvort já eða nei?,"The purpose of this question is to figure out if a particular question is a ""yes/no"" question.",[[translation:9ed9d5ea-217b-4e61-9928-62a1150522fc]],/,No,No
a0891da8-8741-4867-a3c4-7bb927896c41,qa-crowdsourcing-app,src/services/Chests/index.ts,qa-crowdsourcing-app/src/services/Chests/index.ts,maybe,prizes / text,Legend,Legend,Hvítir Hrafnar,Not necessary if not implementing prizes. This is the most rare chest / prize category (5/5),[[translation:a0891da8-8741-4867-a3c4-7bb927896c41]],/,No,No
a131ec39-c67f-49be-82c2-d3081d72e020,qa-crowdsourcing-app,,,yes,title,Reset Password,Reset Password,Fá nýtt lykilorð,"Title / heading of the ""reset password"" page",[[translation:a131ec39-c67f-49be-82c2-d3081d72e020]],,No,No
a197b9af-1812-4cef-9d50-c46dc49bc4e2,qa-crowdsourcing-app,,,yes,text,Old answers,Old answers,Gömul svör,"Users viewing their profile can see the answers to their questions. There is a breakdown on this page between answers they haven´t seen and ""old answers"" so they can easily see answers which they haven´t seen before. This text is placed on a separator that separates unseen ""new"" answers from seen ""old answers""",[[translation:a197b9af-1812-4cef-9d50-c46dc49bc4e2]],,No,No
a1f4560f-51dc-4c01-bd09-041a635b7116,qa-crowdsourcing-app,src/components/organisms/Game/EndOfRound/index.tsx,qa-crowdsourcing-app/src/components/organisms/Game/EndOfRound/index.tsx,yes,text,Well done!,Well done!,Vel gert!,Motivation / compliment ,[[translation:a1f4560f-51dc-4c01-bd09-041a635b7116]],/,No,No
a2248f5c-8b7b-427c-9ec1-8aa0ec234fee,qa-crowdsourcing-api,src/routes/api/announcement/interface.ts,qa-crowdsourcing-api/src/routes/api/announcements/interface.ts,yes,text,Saturday,Saturday,laugardag,A day of the week,[[translation:a2248f5c-8b7b-427c-9ec1-8aa0ec234fee]],/,No,No
a4f02bcc-cce6-45ec-bdf5-3a1f836feb15,qa-crowdsourcing-api,src/models/Users/index.ts,qa-crowdsourcing-api/src/models/Users/index.ts,yes,error / text,Username not available,Username not available,Notendanafn er ekki laust,An error shown to a user when they try to register with a username that has already been taken,[[translation:a4f02bcc-cce6-45ec-bdf5-3a1f836feb15]],/,No,No
a937537e-a7d5-4852-be69-e09c00a6b43f,qa-crowdsourcing-app,src/components/organisms/Game/ReviewQuestion,qa-crowdsourcing-app/src/components/organisms/Game/ReviewQuestion,yes,text,"If so, we will remove the question.","If so, we will remove the question.",Ef svo er þá munum við eyða henni.,"This is shown to a user after they´ve marked a question as ""bad"". This message tells the user that we will remove the question, giving them a chance to go back if they're not sure.",[[translation:a937537e-a7d5-4852-be69-e09c00a6b43f]],/,No,No
aa635d9d-a3c2-4a47-a67a-31a45a5d1966,qa-crowdsourcing-api-retag,,,maybe,prizes / text,You have unlocked all prize categories!,You have unlocked all prize categories!,Þú hefur aflæst alla mögulega vinningaflokka!,Not necessary if not implementing prizes. Tells users that they've unlocked all prize categories,[[translation:aa635d9d-a3c2-4a47-a67a-31a45a5d1966]],,No,No
ace9972a-b728-4555-be11-82f52b9e6e74,qa-crowdsourcing-app,src/components/organisms/Game/ReviewQuestion,qa-crowdsourcing-app/src/components/organisms/Game/ReviewQuestion,yes,text,It is clear what the question is asking,It is clear what the question is asking,Það er skýrt hvað höfundur spurningarinnar á við.,A statement shown to users when they are reviewing questions. They choose yes or no based on whether they agree with the statement given the question at hand.,[[translation:ace9972a-b728-4555-be11-82f52b9e6e74]],/,No,No
af6dd160-a6bf-4f3d-bf96-268b93599a9a,qa-crowdsourcing-api,src/routes/api/announcement/interface.ts,qa-crowdsourcing-api/src/routes/api/announcements/interface.ts,yes,text,Wednesday,Wednesday,miðvikudag,A day of the week,[[translation:af6dd160-a6bf-4f3d-bf96-268b93599a9a]],/,No,No
b0325be3-7704-4cf7-838d-b87e44910121,qa-crowdsourcing-app,,,yes,text,Copied to clipboard,Copied to clipboard,Afritað,Very short message shown to the user letting them know that something was copied,[[translation:b0325be3-7704-4cf7-838d-b87e44910121]],,No,No
b1e80198-9c0f-433b-b352-0a7d84dbc635,qa-crowdsourcing-app,src/components/atoms/cards/AnswerItem/index,qa-crowdsourcing-app/src/components/atoms/cards/AnswerItem/index,yes,text,No ,No ,Nei,"No as in ""yes or no"" question",[[translation:b1e80198-9c0f-433b-b352-0a7d84dbc635]],/,No,No
b22d0fda-88ca-4efd-81c0-b224e38fa4c2,qa-crowdsourcing-app,src/services/CountDownLabel/index.ts,qa-crowdsourcing-app/src/services/CountDownLabel/index.ts,maybe,text,Min,Min,Mín,This is abbreviation for minutes in a countdown.,[[translation:b22d0fda-88ca-4efd-81c0-b224e38fa4c2]],/,No,No
b369fb95-f7cc-4e6a-ba0f-ff9de7c5a770,qa-crowdsourcing-api-retag,,,yes,error / text,Unable to generate a verification code for a user who has already verified,Unable to generate a verification code for a user who has already verified,Ekki hægt að búa til staðfestingarkóða fyrir notanda sem hefur núþegar staðfest,An error message given when a user tries to confirm when they´ve already verified their account,[[translation:b369fb95-f7cc-4e6a-ba0f-ff9de7c5a770]],,No,No
b529825f-fa0a-417c-8432-d30a7b56f35c,qa-crowdsourcing-app,,,yes,text,Welcome back!,Welcome back!,Velkomin/n aftur!,Welcoming users back,[[translation:b529825f-fa0a-417c-8432-d30a7b56f35c]],,No,No
b5f212d7-7751-4abf-af59-7e8553b26cd8,qa-crowdsourcing-app,,,yes,button,Log In,Log In,Skrá inn,Log in button,[[translation:b5f212d7-7751-4abf-af59-7e8553b26cd8]],,No,No
b6b03fca-33b6-4cd9-adb6-d93d9535cd11,qa-crowdsourcing-app,src/components/atoms/cards/AnswerItem/index,qa-crowdsourcing-app/src/components/atoms/cards/AnswerItem/index,yes,text,User was not able to find the answer,User was not able to find the answer,Notandi fann ekki svarið,"Shown to an author of a question which was deemed ""unanswerable"" by another user.",[[translation:b6b03fca-33b6-4cd9-adb6-d93d9535cd11]],/,No,No
b87d4fe0-094d-4062-b215-237136000155,qa-crowdsourcing-api,src/models/Users/index.ts,qa-crowdsourcing-api/src/models/Users/index.ts,yes,error / text,Email missing,Email missing,Það vantar tölvupóstfang,An error shown to a user when registering but they don't give an email,[[translation:b87d4fe0-094d-4062-b215-237136000155]],/,No,No
bb358f9d-5cdf-42b3-a289-668738614244,sendgrid_templates,,,yes,email,Confirm Account,Confirm Account,Staðfesta aðgang,A part of an email that's sent to users when they need to verify their questions,[[translation:bb358f9d-5cdf-42b3-a289-668738614244]],,No,No
bbc46ed8-6b61-4909-949f-af938119d579,qa-crowdsourcing-app,,,yes,button,Create an account,Create an account,Búa til aðgang,Create account button,[[translation:bbc46ed8-6b61-4909-949f-af938119d579]],,No,No
bbeac5e8-68b8-4c10-98f1-269857ba9347,qa-crowdsourcing-app,src/routing/index.tsx,qa-crowdsourcing-app/src/routing/index.tsx,yes,text,Profile,Profile,Ég,"a single word that captures the meaning of ""Profile"" and can be used as a tab in the bottom navigation.",[[translation:bbeac5e8-68b8-4c10-98f1-269857ba9347]],/,No,No
be737f7e-1b79-4893-805c-8739912cb70d,qa-crowdsourcing-api,src/routes/api/v1/prizes/readAll/index.ts,qa-crowdsourcing-api/src/routes/api/v1/prizes/readAll/index.ts,maybe,prizes / text,reach level ,reach level ,komast í LVL,"Not necessary if not implementing prizes. This is used to motivate users to get to a certein level. Write this as a part of a sentence which will have ""You need to"" prepended to it and ""[LEVEL]"" integer appended to the end of it in your language.",[[translation:be737f7e-1b79-4893-805c-8739912cb70d]],/,No,No
bfaf4b4a-1fa8-414a-ba11-4d753bdd20bd,qa-crowdsourcing-app,,,yes,Button,I already have an Account,I already have an Account,Ég er með aðgang,"A button taking a user from ""registration"" to ""log in"" view",[[translation:bfaf4b4a-1fa8-414a-ba11-4d753bdd20bd]],,No,No
c067890d-fb0d-4fb4-b169-8ad288a38866,qa-crowdsourcing-api,src/models/Users/index.ts,qa-crowdsourcing-api/src/models/Users/index.ts,yes,email / subject,[Game Name] | Reset password,[Game Name] | Reset password,Breyta lykilorði Spurningar.is,This is a subject header for emails sent to users when they request to change their password,[[translation:c067890d-fb0d-4fb4-b169-8ad288a38866]],/,No,No
c27b9752-ac3d-498b-b053-29b932d3c689,qa-crowdsourcing-api-retag,,,yes,text,Keep up the good work!,Keep up the good work!,Haltu áfram að standa þig vel!,A motivational message,[[translation:c27b9752-ac3d-498b-b053-29b932d3c689]],,No,No
